parameter,rhat,experiment,condition,model_name
b_Intercept,1.0008190627699511,exp2,payoff,contrast
b_hu_Intercept,1.0016086785367804,exp2,payoff,contrast
b_stim,1.0000994638303256,exp2,payoff,contrast
b_condpresent,1.0001935784005163,exp2,payoff,contrast
b_stim:condpresent,1.0001386882271768,exp2,payoff,contrast
b_hu_stim,0.9999327189165074,exp2,payoff,contrast
sd_participant__Intercept,1.0002580056166808,exp2,payoff,contrast
sd_participant__condpresent,1.0005216557490588,exp2,payoff,contrast
sd_participant__hu_Intercept,1.000379829351496,exp2,payoff,contrast
cor_participant__Intercept__condpresent,1.0000112915572212,exp2,payoff,contrast
sigma,1.0000748715278391,exp2,payoff,contrast
Intercept,1.0009651976197664,exp2,payoff,contrast
Intercept_hu,1.0016828603823758,exp2,payoff,contrast
"r_participant[116,Intercept]",1.0004262961614938,exp2,payoff,contrast
"r_participant[117,Intercept]",1.0006744116119015,exp2,payoff,contrast
"r_participant[118,Intercept]",1.000319112400397,exp2,payoff,contrast
"r_participant[119,Intercept]",1.000355399659085,exp2,payoff,contrast
"r_participant[120,Intercept]",1.0003264597931412,exp2,payoff,contrast
"r_participant[121,Intercept]",1.0005407923049014,exp2,payoff,contrast
"r_participant[122,Intercept]",1.0003172814836074,exp2,payoff,contrast
"r_participant[123,Intercept]",1.0002375699430384,exp2,payoff,contrast
"r_participant[124,Intercept]",1.000399869658705,exp2,payoff,contrast
"r_participant[126,Intercept]",1.0004343349527913,exp2,payoff,contrast
"r_participant[127,Intercept]",1.0002178714670025,exp2,payoff,contrast
"r_participant[128,Intercept]",1.0004686827810283,exp2,payoff,contrast
"r_participant[129,Intercept]",1.0004003210544512,exp2,payoff,contrast
"r_participant[130,Intercept]",1.0004220764881062,exp2,payoff,contrast
"r_participant[131,Intercept]",1.0004631439339844,exp2,payoff,contrast
"r_participant[132,Intercept]",1.000600562969065,exp2,payoff,contrast
"r_participant[133,Intercept]",1.0003619351467266,exp2,payoff,contrast
"r_participant[134,Intercept]",1.000224650071057,exp2,payoff,contrast
"r_participant[135,Intercept]",1.0006145940549438,exp2,payoff,contrast
"r_participant[136,Intercept]",1.0004833920308303,exp2,payoff,contrast
"r_participant[137,Intercept]",1.0004294074725462,exp2,payoff,contrast
"r_participant[138,Intercept]",1.000743223288027,exp2,payoff,contrast
"r_participant[139,Intercept]",1.0003719354060217,exp2,payoff,contrast
"r_participant[140,Intercept]",1.0004428476988219,exp2,payoff,contrast
"r_participant[141,Intercept]",1.0003903365902136,exp2,payoff,contrast
"r_participant[142,Intercept]",1.0002266668580946,exp2,payoff,contrast
"r_participant[143,Intercept]",1.000450940129475,exp2,payoff,contrast
"r_participant[145,Intercept]",1.00060644038179,exp2,payoff,contrast
"r_participant[146,Intercept]",1.0007130837756562,exp2,payoff,contrast
"r_participant[147,Intercept]",1.0001417910198667,exp2,payoff,contrast
"r_participant[148,Intercept]",1.0002530920017056,exp2,payoff,contrast
"r_participant[149,Intercept]",1.0004726532424848,exp2,payoff,contrast
"r_participant[150,Intercept]",1.000442644733684,exp2,payoff,contrast
"r_participant[151,Intercept]",1.00054595334547,exp2,payoff,contrast
"r_participant[152,Intercept]",1.0004044863510395,exp2,payoff,contrast
"r_participant[153,Intercept]",1.000562376874743,exp2,payoff,contrast
"r_participant[154,Intercept]",1.0003233044326107,exp2,payoff,contrast
"r_participant[155,Intercept]",1.000040775597463,exp2,payoff,contrast
"r_participant[157,Intercept]",1.0003397502299147,exp2,payoff,contrast
"r_participant[158,Intercept]",1.000406833038739,exp2,payoff,contrast
"r_participant[159,Intercept]",1.0003465290815499,exp2,payoff,contrast
"r_participant[160,Intercept]",1.0003921851298954,exp2,payoff,contrast
"r_participant[161,Intercept]",1.0004333135023562,exp2,payoff,contrast
"r_participant[162,Intercept]",1.0003408006644037,exp2,payoff,contrast
"r_participant[163,Intercept]",1.0004857302464394,exp2,payoff,contrast
"r_participant[164,Intercept]",1.0005891565369351,exp2,payoff,contrast
"r_participant[165,Intercept]",1.0005515020963525,exp2,payoff,contrast
"r_participant[166,Intercept]",1.0003045419944734,exp2,payoff,contrast
"r_participant[167,Intercept]",1.000608148805317,exp2,payoff,contrast
"r_participant[168,Intercept]",1.0004924018051138,exp2,payoff,contrast
"r_participant[116,condpresent]",1.000039174390001,exp2,payoff,contrast
"r_participant[117,condpresent]",1.000166329555812,exp2,payoff,contrast
"r_participant[118,condpresent]",0.9999775576666824,exp2,payoff,contrast
"r_participant[119,condpresent]",1.0000097092584173,exp2,payoff,contrast
"r_participant[120,condpresent]",1.0000644415172926,exp2,payoff,contrast
"r_participant[121,condpresent]",1.0000553197366124,exp2,payoff,contrast
"r_participant[122,condpresent]",0.9999962000121655,exp2,payoff,contrast
"r_participant[123,condpresent]",1.0000137161258211,exp2,payoff,contrast
"r_participant[124,condpresent]",1.0000203620402324,exp2,payoff,contrast
"r_participant[126,condpresent]",0.999989378797395,exp2,payoff,contrast
"r_participant[127,condpresent]",1.0000815093861348,exp2,payoff,contrast
"r_participant[128,condpresent]",1.000020748311791,exp2,payoff,contrast
"r_participant[129,condpresent]",1.000028232236148,exp2,payoff,contrast
"r_participant[130,condpresent]",1.0002093932652634,exp2,payoff,contrast
"r_participant[131,condpresent]",1.0000501446507932,exp2,payoff,contrast
"r_participant[132,condpresent]",1.0003597119316001,exp2,payoff,contrast
"r_participant[133,condpresent]",1.0002389864735715,exp2,payoff,contrast
"r_participant[134,condpresent]",1.0002448251439384,exp2,payoff,contrast
"r_participant[135,condpresent]",1.000093030379812,exp2,payoff,contrast
"r_participant[136,condpresent]",1.0001643384615,exp2,payoff,contrast
"r_participant[137,condpresent]",1.0000558908777923,exp2,payoff,contrast
"r_participant[138,condpresent]",1.000063297899664,exp2,payoff,contrast
