parameter,rhat,experiment,condition,model_name
b_Intercept,1.0016300965764484,exp1,baserate,full
b_hu_Intercept,1.0010779966927896,exp1,baserate,full
b_stim,1.0000551514147182,exp1,baserate,full
b_condpresent,1.0016080713794988,exp1,baserate,full
b_stim:condpresent,1.0000874121859324,exp1,baserate,full
b_hu_stim,1.0000006062329678,exp1,baserate,full
b_hu_condpresent,1.0007637115336134,exp1,baserate,full
b_hu_stim:condpresent,1.0000541033550185,exp1,baserate,full
sd_participant__Intercept,1.0005924270573834,exp1,baserate,full
sd_participant__condpresent,1.0007040847914768,exp1,baserate,full
sd_participant__hu_Intercept,1.0003403587897688,exp1,baserate,full
sd_participant__hu_condpresent,1.000332351961277,exp1,baserate,full
cor_participant__Intercept__condpresent,1.0007037572241932,exp1,baserate,full
cor_participant__hu_Intercept__hu_condpresent,1.0003323460671336,exp1,baserate,full
sigma,1.0001226727743537,exp1,baserate,full
Intercept,1.0012368534027678,exp1,baserate,full
Intercept_hu,1.001389619442866,exp1,baserate,full
"r_participant[001,Intercept]",1.000595804374086,exp1,baserate,full
"r_participant[002,Intercept]",1.000269527920998,exp1,baserate,full
"r_participant[003,Intercept]",1.0008264193317828,exp1,baserate,full
"r_participant[004,Intercept]",1.0005682996500356,exp1,baserate,full
"r_participant[005,Intercept]",1.001317969767822,exp1,baserate,full
"r_participant[006,Intercept]",1.0007359949517787,exp1,baserate,full
"r_participant[008,Intercept]",1.0008457237175008,exp1,baserate,full
"r_participant[009,Intercept]",1.0012948932778145,exp1,baserate,full
"r_participant[010,Intercept]",1.000587011592713,exp1,baserate,full
"r_participant[011,Intercept]",1.0012054425707886,exp1,baserate,full
"r_participant[012,Intercept]",1.0008203316450248,exp1,baserate,full
"r_participant[013,Intercept]",1.0010365983461436,exp1,baserate,full
"r_participant[014,Intercept]",1.0007937056983898,exp1,baserate,full
"r_participant[015,Intercept]",1.0010541160913746,exp1,baserate,full
"r_participant[016,Intercept]",1.00124151535459,exp1,baserate,full
"r_participant[017,Intercept]",1.0008411005184998,exp1,baserate,full
"r_participant[018,Intercept]",1.0008985165172086,exp1,baserate,full
"r_participant[019,Intercept]",1.0008284760911277,exp1,baserate,full
"r_participant[020,Intercept]",1.0011428045553155,exp1,baserate,full
"r_participant[021,Intercept]",1.001151188249836,exp1,baserate,full
"r_participant[022,Intercept]",1.0009624432298605,exp1,baserate,full
"r_participant[023,Intercept]",1.000821850251231,exp1,baserate,full
"r_participant[024,Intercept]",1.0007603978495638,exp1,baserate,full
"r_participant[025,Intercept]",1.0008078539188625,exp1,baserate,full
"r_participant[026,Intercept]",1.0010426954168388,exp1,baserate,full
"r_participant[027,Intercept]",1.0005335325738067,exp1,baserate,full
"r_participant[029,Intercept]",1.0006556732945735,exp1,baserate,full
"r_participant[030,Intercept]",1.0010015120608782,exp1,baserate,full
"r_participant[032,Intercept]",1.0011023309672296,exp1,baserate,full
"r_participant[033,Intercept]",1.0009736930936763,exp1,baserate,full
"r_participant[034,Intercept]",1.0008856178374514,exp1,baserate,full
"r_participant[035,Intercept]",1.0010057576947642,exp1,baserate,full
"r_participant[036,Intercept]",1.0011775109481178,exp1,baserate,full
"r_participant[037,Intercept]",1.001299707700853,exp1,baserate,full
"r_participant[038,Intercept]",1.0011428901341581,exp1,baserate,full
"r_participant[039,Intercept]",1.000817588762075,exp1,baserate,full
"r_participant[040,Intercept]",1.0010675168610814,exp1,baserate,full
"r_participant[041,Intercept]",1.0006598727407001,exp1,baserate,full
"r_participant[042,Intercept]",1.0010688768977303,exp1,baserate,full
"r_participant[043,Intercept]",1.0009886262135186,exp1,baserate,full
"r_participant[044,Intercept]",1.000747533474888,exp1,baserate,full
"r_participant[045,Intercept]",1.0007608741214615,exp1,baserate,full
"r_participant[046,Intercept]",1.0011100403251434,exp1,baserate,full
"r_participant[047,Intercept]",1.0011562145917243,exp1,baserate,full
"r_participant[048,Intercept]",1.0008320976390563,exp1,baserate,full
"r_participant[051,Intercept]",1.0009266804559598,exp1,baserate,full
"r_participant[053,Intercept]",1.0012484111087707,exp1,baserate,full
"r_participant[054,Intercept]",1.0012453853829086,exp1,baserate,full
"r_participant[055,Intercept]",1.0012223317275313,exp1,baserate,full
"r_participant[056,Intercept]",1.0008400367513781,exp1,baserate,full
"r_participant[057,Intercept]",1.0010002230334953,exp1,baserate,full
"r_participant[058,Intercept]",1.0008231198492692,exp1,baserate,full
"r_participant[059,Intercept]",1.0009544809504662,exp1,baserate,full
"r_participant[060,Intercept]",1.0008122079014905,exp1,baserate,full
"r_participant[061,Intercept]",1.0006739925695658,exp1,baserate,full
"r_participant[062,Intercept]",1.0007160304503018,exp1,baserate,full
"r_participant[063,Intercept]",1.0009971426121318,exp1,baserate,full
"r_participant[001,condpresent]",1.0002919926423777,exp1,baserate,full
"r_participant[002,condpresent]",1.000162844636163,exp1,baserate,full
"r_participant[003,condpresent]",1.0004101242681078,exp1,baserate,full
"r_participant[004,condpresent]",1.0002499755261416,exp1,baserate,full
"r_participant[005,condpresent]",1.0005308043992371,exp1,baserate,full
"r_participant[006,condpresent]",1.000269459028223,exp1,baserate,full
"r_participant[008,condpresent]",1.000329835639751,exp1,baserate,full
"r_participant[009,condpresent]",1.0007263768900372,exp1,baserate,full
"r_participant[010,condpresent]",1.000225710664955,exp1,baserate,full
"r_participant[011,condpresent]",1.0004930142406798,exp1,baserate,full
"r_participant[012,condpresent]",1.0002997049122069,exp1,baserate,full
"r_participant[013,condpresent]",1.0007211150314357,exp1,baserate,full
"r_participant[014,condpresent]",1.0002465233443116,exp1,baserate,full
"r_participant[015,condpresent]",1.0005865687308502,exp1,baserate,full
