parameter,rhat,experiment,condition,model_name
b_Intercept,1.0016409819353012,exp1,cue,hurdle
b_hu_Intercept,1.0007551661901242,exp1,cue,hurdle
b_stim,1.0001328491781583,exp1,cue,hurdle
b_hu_stim,1.0000747517106643,exp1,cue,hurdle
b_hu_condpresent,1.0000235426718969,exp1,cue,hurdle
b_hu_stim:condpresent,1.0001352913933756,exp1,cue,hurdle
sd_participant__Intercept,1.000874861738321,exp1,cue,hurdle
sd_participant__hu_Intercept,1.0008329252421222,exp1,cue,hurdle
sd_participant__hu_condpresent,1.0001053537395004,exp1,cue,hurdle
cor_participant__hu_Intercept__hu_condpresent,1.0007930810215593,exp1,cue,hurdle
sigma,1.0000293369942732,exp1,cue,hurdle
Intercept,1.0020583720809015,exp1,cue,hurdle
Intercept_hu,1.0008085840526058,exp1,cue,hurdle
"r_participant[065,Intercept]",1.0003700977311607,exp1,cue,hurdle
"r_participant[066,Intercept]",1.0004734920560012,exp1,cue,hurdle
"r_participant[067,Intercept]",1.0003418265087354,exp1,cue,hurdle
"r_participant[068,Intercept]",1.0003839201937592,exp1,cue,hurdle
"r_participant[069,Intercept]",1.0003596403691317,exp1,cue,hurdle
"r_participant[070,Intercept]",1.0003850310055937,exp1,cue,hurdle
"r_participant[071,Intercept]",1.0002934082761035,exp1,cue,hurdle
"r_participant[072,Intercept]",1.0002825638932562,exp1,cue,hurdle
"r_participant[073,Intercept]",1.0005250376884707,exp1,cue,hurdle
"r_participant[074,Intercept]",1.0001648187784886,exp1,cue,hurdle
"r_participant[075,Intercept]",1.0003494149476064,exp1,cue,hurdle
"r_participant[076,Intercept]",1.0003759804618393,exp1,cue,hurdle
"r_participant[077,Intercept]",1.0003241384201447,exp1,cue,hurdle
"r_participant[078,Intercept]",1.0003750708095362,exp1,cue,hurdle
"r_participant[079,Intercept]",1.0000359393733784,exp1,cue,hurdle
"r_participant[080,Intercept]",1.0004397525570736,exp1,cue,hurdle
"r_participant[081,Intercept]",1.000317820903719,exp1,cue,hurdle
"r_participant[082,Intercept]",1.0003688220507216,exp1,cue,hurdle
"r_participant[083,Intercept]",1.0004535984541223,exp1,cue,hurdle
"r_participant[084,Intercept]",1.0002635447362802,exp1,cue,hurdle
"r_participant[085,Intercept]",1.000375184663034,exp1,cue,hurdle
"r_participant[086,Intercept]",1.000240506724769,exp1,cue,hurdle
"r_participant[087,Intercept]",1.0002410412180027,exp1,cue,hurdle
"r_participant[088,Intercept]",1.000131411082217,exp1,cue,hurdle
"r_participant[089,Intercept]",1.000135026777199,exp1,cue,hurdle
"r_participant[090,Intercept]",1.0006979087295402,exp1,cue,hurdle
"r_participant[091,Intercept]",1.0001312357189736,exp1,cue,hurdle
"r_participant[092,Intercept]",1.0003305472522594,exp1,cue,hurdle
"r_participant[093,Intercept]",1.0001647943024548,exp1,cue,hurdle
"r_participant[095,Intercept]",1.000310167969251,exp1,cue,hurdle
"r_participant[096,Intercept]",1.0001617014229858,exp1,cue,hurdle
"r_participant[097,Intercept]",1.0003498549537908,exp1,cue,hurdle
"r_participant[098,Intercept]",1.0002218235849758,exp1,cue,hurdle
"r_participant[099,Intercept]",1.0006631157336123,exp1,cue,hurdle
"r_participant[100,Intercept]",1.0002877437113757,exp1,cue,hurdle
"r_participant[101,Intercept]",1.000240623936285,exp1,cue,hurdle
"r_participant[102,Intercept]",1.0002130162006122,exp1,cue,hurdle
"r_participant[103,Intercept]",1.0004572911802558,exp1,cue,hurdle
"r_participant[104,Intercept]",1.0004121551865186,exp1,cue,hurdle
"r_participant[105,Intercept]",1.0001592779574897,exp1,cue,hurdle
"r_participant[106,Intercept]",1.0003461058512915,exp1,cue,hurdle
"r_participant[107,Intercept]",1.0006756115337443,exp1,cue,hurdle
"r_participant[108,Intercept]",1.000607797710819,exp1,cue,hurdle
"r_participant[109,Intercept]",1.0004383082598256,exp1,cue,hurdle
"r_participant[110,Intercept]",1.0005602718741908,exp1,cue,hurdle
"r_participant[111,Intercept]",1.0001993121211386,exp1,cue,hurdle
"r_participant[112,Intercept]",1.0004502270909579,exp1,cue,hurdle
"r_participant[113,Intercept]",1.000196394258593,exp1,cue,hurdle
"r_participant[114,Intercept]",1.0003648659123578,exp1,cue,hurdle
"r_participant[115,Intercept]",1.000259708907873,exp1,cue,hurdle
"r_participant[116,Intercept]",1.0003917965728515,exp1,cue,hurdle
"r_participant[117,Intercept]",1.0001789142471051,exp1,cue,hurdle
"r_participant[118,Intercept]",1.0008419413457792,exp1,cue,hurdle
"r_participant[119,Intercept]",1.000284052941037,exp1,cue,hurdle
"r_participant[120,Intercept]",1.0003302427067793,exp1,cue,hurdle
"r_participant[121,Intercept]",1.0001614015652498,exp1,cue,hurdle
"r_participant[122,Intercept]",1.0002696376583229,exp1,cue,hurdle
"r_participant[123,Intercept]",1.0005857305207861,exp1,cue,hurdle
"r_participant[124,Intercept]",1.0004851060551199,exp1,cue,hurdle
"r_participant[125,Intercept]",1.0002174791603209,exp1,cue,hurdle
"r_participant[126,Intercept]",1.000266329921486,exp1,cue,hurdle
"r_participant[127,Intercept]",1.0003841979889085,exp1,cue,hurdle
"r_participant[128,Intercept]",1.000403679657388,exp1,cue,hurdle
"r_participant[129,Intercept]",1.000216684897701,exp1,cue,hurdle
"r_participant[130,Intercept]",1.0003819810733732,exp1,cue,hurdle
"r_participant[131,Intercept]",1.0003591241282026,exp1,cue,hurdle
"r_participant[132,Intercept]",1.0001612230773491,exp1,cue,hurdle
"r_participant[133,Intercept]",1.000217864211025,exp1,cue,hurdle
"r_participant[134,Intercept]",1.0003792689325153,exp1,cue,hurdle
"r_participant[135,Intercept]",1.0003906779508824,exp1,cue,hurdle
"r_participant[136,Intercept]",1.0004860759665835,exp1,cue,hurdle
"r_participant[137,Intercept]",1.0004049864742255,exp1,cue,hurdle
"r_participant[138,Intercept]",1.000504773355421,exp1,cue,hurdle
"r_participant[139,Intercept]",1.0006232212409478,exp1,cue,hurdle
"r_participant[140,Intercept]",1.000354659536207,exp1,cue,hurdle
"r_participant[141,Intercept]",1.0002868814414305,exp1,cue,hurdle
"r_participant[142,Intercept]",1.000608934045617,exp1,cue,hurdle
"r_participant[143,Intercept]",1.000328726483618,exp1,cue,hurdle
"r_participant[144,Intercept]",1.0006494373346906,exp1,cue,hurdle
"r_participant[145,Intercept]",1.0004290221743781,exp1,cue,hurdle
"r_participant[146,Intercept]",1.000382601231555,exp1,cue,hurdle
"r_participant[147,Intercept]",1.0004364682158882,exp1,cue,hurdle
"r_participant[148,Intercept]",1.0006078223569046,exp1,cue,hurdle
"r_participant[149,Intercept]",1.000291783128019,exp1,cue,hurdle
"r_participant[150,Intercept]",1.0003816504129066,exp1,cue,hurdle
"r_participant[151,Intercept]",1.0002769623932772,exp1,cue,hurdle
"r_participant[152,Intercept]",1.000739273307485,exp1,cue,hurdle
"r_participant[153,Intercept]",1.0003131011611568,exp1,cue,hurdle
"r_participant[154,Intercept]",1.0003300018689203,exp1,cue,hurdle
"r_participant[155,Intercept]",1.0006208045619471,exp1,cue,hurdle
"r_participant[156,Intercept]",1.0002794556626033,exp1,cue,hurdle
"r_participant[157,Intercept]",1.0004651904609423,exp1,cue,hurdle
"r_participant[158,Intercept]",1.000654614191097,exp1,cue,hurdle
"r_participant[159,Intercept]",1.000508636591026,exp1,cue,hurdle
"r_participant[160,Intercept]",1.0001558687452359,exp1,cue,hurdle
"r_participant[161,Intercept]",1.0002307967763904,exp1,cue,hurdle
"r_participant[162,Intercept]",1.0003585371575476,exp1,cue,hurdle
"r_participant[163,Intercept]",1.0001509757123628,exp1,cue,hurdle
"r_participant[164,Intercept]",1.0004308008122655,exp1,cue,hurdle
"r_participant[165,Intercept]",1.0002602979222612,exp1,cue,hurdle
"r_participant[166,Intercept]",1.0004935951948413,exp1,cue,hurdle
"r_participant[167,Intercept]",1.0002437272415354,exp1,cue,hurdle
"r_participant[168,Intercept]",1.0002579935308724,exp1,cue,hurdle
"r_participant[169,Intercept]",1.0004658223062102,exp1,cue,hurdle
"r_participant[170,Intercept]",1.0003394934205114,exp1,cue,hurdle
"r_participant__hu[065,Intercept]",1.000253024299712,exp1,cue,hurdle
"r_participant__hu[066,Intercept]",1.0001173271049726,exp1,cue,hurdle
"r_participant__hu[067,Intercept]",1.0001606570113084,exp1,cue,hurdle
"r_participant__hu[068,Intercept]",1.000185930932438,exp1,cue,hurdle
"r_participant__hu[069,Intercept]",1.000172520812812,exp1,cue,hurdle
"r_participant__hu[070,Intercept]",1.0002564111527785,exp1,cue,hurdle
"r_participant__hu[071,Intercept]",1.0004172832168963,exp1,cue,hurdle
"r_participant__hu[072,Intercept]",1.0002694999409696,exp1,cue,hurdle
"r_participant__hu[073,Intercept]",1.0001062316434057,exp1,cue,hurdle
"r_participant__hu[074,Intercept]",1.0001893813108895,exp1,cue,hurdle
"r_participant__hu[075,Intercept]",1.0001932496908799,exp1,cue,hurdle
"r_participant__hu[076,Intercept]",1.0002457044854882,exp1,cue,hurdle
"r_participant__hu[077,Intercept]",1.0002170985804903,exp1,cue,hurdle
