parameter,rhat,experiment,condition,model_name
b_Intercept,1.0005281701001283,exp1,cue,contrast
b_hu_Intercept,1.0013219582972341,exp1,cue,contrast
b_stim,1.0001341928336993,exp1,cue,contrast
b_condpresent,1.0000910519162252,exp1,cue,contrast
b_stim:condpresent,1.0001652269020045,exp1,cue,contrast
b_hu_stim,1.000072855084823,exp1,cue,contrast
sd_participant__Intercept,1.0002297612526028,exp1,cue,contrast
sd_participant__condpresent,1.0000269848337002,exp1,cue,contrast
sd_participant__hu_Intercept,1.0008329535291614,exp1,cue,contrast
cor_participant__Intercept__condpresent,1.0003805783313364,exp1,cue,contrast
sigma,1.0001614410851927,exp1,cue,contrast
Intercept,1.0005965430455173,exp1,cue,contrast
Intercept_hu,1.0013899996974822,exp1,cue,contrast
"r_participant[065,Intercept]",1.0002419282181145,exp1,cue,contrast
"r_participant[066,Intercept]",1.000231189807722,exp1,cue,contrast
"r_participant[067,Intercept]",1.000060879664345,exp1,cue,contrast
"r_participant[068,Intercept]",1.0000726106279763,exp1,cue,contrast
"r_participant[069,Intercept]",1.0000753122330446,exp1,cue,contrast
"r_participant[070,Intercept]",1.0000702017761325,exp1,cue,contrast
"r_participant[071,Intercept]",1.0003609854849658,exp1,cue,contrast
"r_participant[072,Intercept]",1.0000654811559888,exp1,cue,contrast
"r_participant[073,Intercept]",1.000228734488481,exp1,cue,contrast
"r_participant[074,Intercept]",1.000073380379756,exp1,cue,contrast
"r_participant[075,Intercept]",0.9999667836952595,exp1,cue,contrast
"r_participant[076,Intercept]",1.000098187475193,exp1,cue,contrast
"r_participant[077,Intercept]",1.0000742956567266,exp1,cue,contrast
"r_participant[078,Intercept]",1.000020511085961,exp1,cue,contrast
"r_participant[079,Intercept]",1.0000826379155743,exp1,cue,contrast
"r_participant[080,Intercept]",1.0001963318986566,exp1,cue,contrast
"r_participant[081,Intercept]",1.0001001690872502,exp1,cue,contrast
"r_participant[082,Intercept]",1.0001054935707678,exp1,cue,contrast
"r_participant[083,Intercept]",1.0001071926543061,exp1,cue,contrast
"r_participant[084,Intercept]",1.000044361812183,exp1,cue,contrast
"r_participant[085,Intercept]",0.9999937550552147,exp1,cue,contrast
"r_participant[086,Intercept]",1.0000930925213887,exp1,cue,contrast
"r_participant[087,Intercept]",1.0001392915627727,exp1,cue,contrast
"r_participant[088,Intercept]",1.0000679543509317,exp1,cue,contrast
"r_participant[089,Intercept]",1.000141588063913,exp1,cue,contrast
"r_participant[090,Intercept]",1.000166907515268,exp1,cue,contrast
"r_participant[091,Intercept]",1.0001239540846423,exp1,cue,contrast
"r_participant[092,Intercept]",1.0000467369498696,exp1,cue,contrast
"r_participant[093,Intercept]",1.0001092272248988,exp1,cue,contrast
"r_participant[095,Intercept]",1.0001512305045168,exp1,cue,contrast
"r_participant[096,Intercept]",1.0002393823648956,exp1,cue,contrast
"r_participant[097,Intercept]",1.0002930256048774,exp1,cue,contrast
"r_participant[098,Intercept]",1.0000969801846802,exp1,cue,contrast
"r_participant[099,Intercept]",1.000077337835928,exp1,cue,contrast
"r_participant[100,Intercept]",1.0000483872247992,exp1,cue,contrast
"r_participant[101,Intercept]",1.0000589760013403,exp1,cue,contrast
"r_participant[102,Intercept]",1.0000578375289852,exp1,cue,contrast
"r_participant[103,Intercept]",1.0001341392786687,exp1,cue,contrast
"r_participant[104,Intercept]",1.0001178748522987,exp1,cue,contrast
"r_participant[105,Intercept]",1.0001375770641385,exp1,cue,contrast
