parameter,rhat,experiment,condition,model_name
b_Intercept,1.0003946756820072,exp1,payoff,full
b_hu_Intercept,1.0010876436009677,exp1,payoff,full
b_stim,1.000083780450212,exp1,payoff,full
b_condpresent,1.0006983907732219,exp1,payoff,full
b_stim:condpresent,1.0000628902091864,exp1,payoff,full
b_hu_stim,1.0000436606891234,exp1,payoff,full
b_hu_condpresent,1.0001675394337215,exp1,payoff,full
b_hu_stim:condpresent,1.0000909923641643,exp1,payoff,full
sd_participant__Intercept,1.0000794355817655,exp1,payoff,full
sd_participant__condpresent,1.0000619636875212,exp1,payoff,full
sd_participant__hu_Intercept,1.0004065963625741,exp1,payoff,full
sd_participant__hu_condpresent,1.0002315809794442,exp1,payoff,full
cor_participant__Intercept__condpresent,1.0001195645216465,exp1,payoff,full
cor_participant__hu_Intercept__hu_condpresent,1.0002712202595316,exp1,payoff,full
sigma,1.0003781512110868,exp1,payoff,full
Intercept,1.0003104542445336,exp1,payoff,full
Intercept_hu,1.0013659084898692,exp1,payoff,full
"r_participant[171,Intercept]",1.0000775943626556,exp1,payoff,full
"r_participant[172,Intercept]",1.0001024141567403,exp1,payoff,full
"r_participant[173,Intercept]",1.000179813347033,exp1,payoff,full
"r_participant[174,Intercept]",1.0000387156129156,exp1,payoff,full
"r_participant[175,Intercept]",1.0001293942147624,exp1,payoff,full
"r_participant[176,Intercept]",1.0001100701077286,exp1,payoff,full
"r_participant[177,Intercept]",1.0001764027475322,exp1,payoff,full
"r_participant[178,Intercept]",1.0000341850438996,exp1,payoff,full
"r_participant[179,Intercept]",1.0001345004534992,exp1,payoff,full
"r_participant[181,Intercept]",1.0001370560958371,exp1,payoff,full
"r_participant[182,Intercept]",1.0000449465125354,exp1,payoff,full
"r_participant[183,Intercept]",1.0001031107493064,exp1,payoff,full
"r_participant[184,Intercept]",1.0001033293540327,exp1,payoff,full
"r_participant[185,Intercept]",1.0000043623229349,exp1,payoff,full
"r_participant[186,Intercept]",0.9999953203027774,exp1,payoff,full
"r_participant[187,Intercept]",1.0001650443436407,exp1,payoff,full
"r_participant[188,Intercept]",1.0000747842290953,exp1,payoff,full
"r_participant[189,Intercept]",1.0003096422034752,exp1,payoff,full
"r_participant[190,Intercept]",1.0001479736570877,exp1,payoff,full
"r_participant[191,Intercept]",1.000235932186453,exp1,payoff,full
"r_participant[192,Intercept]",1.000031688604779,exp1,payoff,full
"r_participant[193,Intercept]",1.0001018063096514,exp1,payoff,full
"r_participant[195,Intercept]",1.0000236174057708,exp1,payoff,full
"r_participant[196,Intercept]",1.0000408042156574,exp1,payoff,full
"r_participant[197,Intercept]",1.000087370633703,exp1,payoff,full
"r_participant[198,Intercept]",1.0001371179757188,exp1,payoff,full
"r_participant[199,Intercept]",1.0001535995029065,exp1,payoff,full
"r_participant[200,Intercept]",1.0000487857691334,exp1,payoff,full
"r_participant[201,Intercept]",1.0000654415949333,exp1,payoff,full
"r_participant[202,Intercept]",0.9999859691033237,exp1,payoff,full
"r_participant[203,Intercept]",1.000266644829351,exp1,payoff,full
"r_participant[204,Intercept]",1.0000862387865967,exp1,payoff,full
"r_participant[206,Intercept]",1.0001932738497472,exp1,payoff,full
"r_participant[207,Intercept]",1.0000618327477946,exp1,payoff,full
"r_participant[208,Intercept]",1.0000761323718739,exp1,payoff,full
"r_participant[209,Intercept]",1.000035254496552,exp1,payoff,full
"r_participant[210,Intercept]",1.0001045214927116,exp1,payoff,full
"r_participant[211,Intercept]",1.0000094821539962,exp1,payoff,full
"r_participant[212,Intercept]",1.0003095172659753,exp1,payoff,full
