parameter,rhat,experiment,condition,model_name
b_Intercept,1.002055928755807,exp2,payoff,hurdle
b_hu_Intercept,1.0010045892408135,exp2,payoff,hurdle
b_stim,1.0002420969481016,exp2,payoff,hurdle
b_hu_stim,1.0000809502727899,exp2,payoff,hurdle
b_hu_condpresent,1.0003955087106164,exp2,payoff,hurdle
b_hu_stim:condpresent,1.0001304402489333,exp2,payoff,hurdle
sd_participant__Intercept,1.0013553230038668,exp2,payoff,hurdle
sd_participant__hu_Intercept,1.0006544329955087,exp2,payoff,hurdle
sd_participant__hu_condpresent,1.0009944650271119,exp2,payoff,hurdle
cor_participant__hu_Intercept__hu_condpresent,1.0003948471116837,exp2,payoff,hurdle
sigma,1.0000599577713458,exp2,payoff,hurdle
Intercept,1.00221671378777,exp2,payoff,hurdle
Intercept_hu,1.0010975678907863,exp2,payoff,hurdle
"r_participant[116,Intercept]",1.0011094233716904,exp2,payoff,hurdle
"r_participant[117,Intercept]",1.0014466971404425,exp2,payoff,hurdle
"r_participant[118,Intercept]",1.001022479336376,exp2,payoff,hurdle
"r_participant[119,Intercept]",1.0010569733247785,exp2,payoff,hurdle
"r_participant[120,Intercept]",1.0011353495278497,exp2,payoff,hurdle
"r_participant[121,Intercept]",1.0013927967909062,exp2,payoff,hurdle
"r_participant[122,Intercept]",1.0010901326034172,exp2,payoff,hurdle
"r_participant[123,Intercept]",1.0009706067647057,exp2,payoff,hurdle
"r_participant[124,Intercept]",1.0009592512795829,exp2,payoff,hurdle
"r_participant[126,Intercept]",1.0013174964552898,exp2,payoff,hurdle
"r_participant[127,Intercept]",1.000913203810948,exp2,payoff,hurdle
"r_participant[128,Intercept]",1.0013412831052588,exp2,payoff,hurdle
"r_participant[129,Intercept]",1.0014333919489031,exp2,payoff,hurdle
"r_participant[130,Intercept]",1.0015162813306475,exp2,payoff,hurdle
"r_participant[131,Intercept]",1.0012245508333624,exp2,payoff,hurdle
"r_participant[132,Intercept]",1.0012615374086045,exp2,payoff,hurdle
"r_participant[133,Intercept]",1.0007112820275141,exp2,payoff,hurdle
"r_participant[134,Intercept]",1.0010723950306646,exp2,payoff,hurdle
"r_participant[135,Intercept]",1.0013669732649846,exp2,payoff,hurdle
"r_participant[136,Intercept]",1.0012503256067626,exp2,payoff,hurdle
"r_participant[137,Intercept]",1.0012852683440867,exp2,payoff,hurdle
"r_participant[138,Intercept]",1.0014157544628604,exp2,payoff,hurdle
"r_participant[139,Intercept]",1.0014560921295599,exp2,payoff,hurdle
"r_participant[140,Intercept]",1.0014591856079886,exp2,payoff,hurdle
"r_participant[141,Intercept]",1.0013930109891767,exp2,payoff,hurdle
"r_participant[142,Intercept]",1.001178889709916,exp2,payoff,hurdle
"r_participant[143,Intercept]",1.0011551416156665,exp2,payoff,hurdle
"r_participant[145,Intercept]",1.0013920682445328,exp2,payoff,hurdle
"r_participant[146,Intercept]",1.0012449213507235,exp2,payoff,hurdle
"r_participant[147,Intercept]",1.0011690649237266,exp2,payoff,hurdle
"r_participant[148,Intercept]",1.001042955570895,exp2,payoff,hurdle
"r_participant[149,Intercept]",1.0010185426891762,exp2,payoff,hurdle
"r_participant[150,Intercept]",1.001207570317074,exp2,payoff,hurdle
"r_participant[151,Intercept]",1.001708655900221,exp2,payoff,hurdle
"r_participant[152,Intercept]",1.0011240082809956,exp2,payoff,hurdle
"r_participant[153,Intercept]",1.0011033861250973,exp2,payoff,hurdle
"r_participant[154,Intercept]",1.0011139493968535,exp2,payoff,hurdle
"r_participant[155,Intercept]",1.0009512231522242,exp2,payoff,hurdle
"r_participant[157,Intercept]",1.0011259727260235,exp2,payoff,hurdle
"r_participant[158,Intercept]",1.0012296032019208,exp2,payoff,hurdle
"r_participant[159,Intercept]",1.001206707802117,exp2,payoff,hurdle
"r_participant[160,Intercept]",1.001252470031509,exp2,payoff,hurdle
"r_participant[161,Intercept]",1.001139240758562,exp2,payoff,hurdle
"r_participant[162,Intercept]",1.001253949803071,exp2,payoff,hurdle
"r_participant[163,Intercept]",1.0009270881848293,exp2,payoff,hurdle
"r_participant[164,Intercept]",1.0008191139708869,exp2,payoff,hurdle
"r_participant[165,Intercept]",1.0009140977791458,exp2,payoff,hurdle
"r_participant[166,Intercept]",1.001308997006992,exp2,payoff,hurdle
"r_participant[167,Intercept]",1.001504072798813,exp2,payoff,hurdle
"r_participant[168,Intercept]",1.001565233341326,exp2,payoff,hurdle
"r_participant__hu[116,Intercept]",1.000185250873196,exp2,payoff,hurdle
"r_participant__hu[117,Intercept]",1.0004582562121922,exp2,payoff,hurdle
"r_participant__hu[118,Intercept]",1.0004775282684253,exp2,payoff,hurdle
"r_participant__hu[119,Intercept]",1.000543742912341,exp2,payoff,hurdle
"r_participant__hu[120,Intercept]",1.000399622620046,exp2,payoff,hurdle
"r_participant__hu[121,Intercept]",1.0004780018852906,exp2,payoff,hurdle
"r_participant__hu[122,Intercept]",1.0006316294484352,exp2,payoff,hurdle
"r_participant__hu[123,Intercept]",1.0002944935918567,exp2,payoff,hurdle
"r_participant__hu[124,Intercept]",1.0004725522831788,exp2,payoff,hurdle
