parameter,rhat,experiment,condition,model_name
b_Intercept,1.0022751715982554,exp2,baserate,hurdle
b_hu_Intercept,1.0006742673729,exp2,baserate,hurdle
b_stim,1.0001700101787394,exp2,baserate,hurdle
b_hu_stim,1.000109062407595,exp2,baserate,hurdle
b_hu_condpresent,1.0001654802624846,exp2,baserate,hurdle
b_hu_stim:condpresent,1.0000138412286448,exp2,baserate,hurdle
sd_participant__Intercept,1.001166081666002,exp2,baserate,hurdle
sd_participant__hu_Intercept,1.0006097374566905,exp2,baserate,hurdle
sd_participant__hu_condpresent,1.0002975409854655,exp2,baserate,hurdle
cor_participant__hu_Intercept__hu_condpresent,1.0007342358541242,exp2,baserate,hurdle
sigma,1.0000927392673604,exp2,baserate,hurdle
Intercept,1.0025125040085208,exp2,baserate,hurdle
Intercept_hu,1.0009760945208768,exp2,baserate,hurdle
"r_participant[001,Intercept]",1.001405574225174,exp2,baserate,hurdle
"r_participant[002,Intercept]",1.0020207266205787,exp2,baserate,hurdle
"r_participant[003,Intercept]",1.0012799910436705,exp2,baserate,hurdle
"r_participant[004,Intercept]",1.0014051684480454,exp2,baserate,hurdle
"r_participant[005,Intercept]",1.0016218219904711,exp2,baserate,hurdle
"r_participant[006,Intercept]",1.0013530984633832,exp2,baserate,hurdle
"r_participant[007,Intercept]",1.001028451256537,exp2,baserate,hurdle
"r_participant[008,Intercept]",1.0011805211664178,exp2,baserate,hurdle
"r_participant[009,Intercept]",1.0013071332464734,exp2,baserate,hurdle
"r_participant[010,Intercept]",1.0011889759223493,exp2,baserate,hurdle
"r_participant[011,Intercept]",1.0018891443712197,exp2,baserate,hurdle
"r_participant[012,Intercept]",1.0014996647990788,exp2,baserate,hurdle
"r_participant[013,Intercept]",1.0014165617746758,exp2,baserate,hurdle
"r_participant[014,Intercept]",1.0013705926977958,exp2,baserate,hurdle
"r_participant[015,Intercept]",1.0012944030306217,exp2,baserate,hurdle
"r_participant[016,Intercept]",1.0010766806887128,exp2,baserate,hurdle
"r_participant[017,Intercept]",1.0016904225783387,exp2,baserate,hurdle
"r_participant[018,Intercept]",1.0017600007873178,exp2,baserate,hurdle
