parameter,rhat,experiment,condition,model_name
b_Intercept,1.0032674246060913,exp1,baserate,contrast
b_hu_Intercept,1.00097470856766,exp1,baserate,contrast
b_stim,1.000037657490166,exp1,baserate,contrast
b_condpresent,1.0019287327622122,exp1,baserate,contrast
b_stim:condpresent,0.9999768150955112,exp1,baserate,contrast
b_hu_stim,1.0000215442938183,exp1,baserate,contrast
sd_participant__Intercept,1.001563853416113,exp1,baserate,contrast
sd_participant__condpresent,1.00035024789313,exp1,baserate,contrast
sd_participant__hu_Intercept,1.0003271908374898,exp1,baserate,contrast
cor_participant__Intercept__condpresent,1.0007160515675968,exp1,baserate,contrast
sigma,1.0001228852128567,exp1,baserate,contrast
Intercept,1.0030598842476144,exp1,baserate,contrast
Intercept_hu,1.0009962664871537,exp1,baserate,contrast
"r_participant[001,Intercept]",1.0017428121460836,exp1,baserate,contrast
"r_participant[002,Intercept]",1.001558442286049,exp1,baserate,contrast
"r_participant[003,Intercept]",1.001851988324449,exp1,baserate,contrast
"r_participant[004,Intercept]",1.000839642345512,exp1,baserate,contrast
"r_participant[005,Intercept]",1.0022363364764844,exp1,baserate,contrast
"r_participant[006,Intercept]",1.0017071273703946,exp1,baserate,contrast
"r_participant[008,Intercept]",1.0015821386639303,exp1,baserate,contrast
"r_participant[009,Intercept]",1.0022382837534087,exp1,baserate,contrast
"r_participant[010,Intercept]",1.0017267096618945,exp1,baserate,contrast
"r_participant[011,Intercept]",1.0025701499785917,exp1,baserate,contrast
"r_participant[012,Intercept]",1.001528515292711,exp1,baserate,contrast
"r_participant[013,Intercept]",1.0024514921510337,exp1,baserate,contrast
"r_participant[014,Intercept]",1.0014556972981872,exp1,baserate,contrast
"r_participant[015,Intercept]",1.002424379994659,exp1,baserate,contrast
"r_participant[016,Intercept]",1.0021489336748919,exp1,baserate,contrast
"r_participant[017,Intercept]",1.0017805720812425,exp1,baserate,contrast
"r_participant[018,Intercept]",1.0023050437875138,exp1,baserate,contrast
"r_participant[019,Intercept]",1.001683098401835,exp1,baserate,contrast
"r_participant[020,Intercept]",1.002139081673444,exp1,baserate,contrast
"r_participant[021,Intercept]",1.002374317867367,exp1,baserate,contrast
"r_participant[022,Intercept]",1.0023586268740652,exp1,baserate,contrast
"r_participant[023,Intercept]",1.0018315717227195,exp1,baserate,contrast
"r_participant[024,Intercept]",1.0019884870550424,exp1,baserate,contrast
"r_participant[025,Intercept]",1.00135727243011,exp1,baserate,contrast
"r_participant[026,Intercept]",1.0022188748523932,exp1,baserate,contrast
"r_participant[027,Intercept]",1.0011355896988396,exp1,baserate,contrast
"r_participant[029,Intercept]",1.0017576173372011,exp1,baserate,contrast
"r_participant[030,Intercept]",1.0022775238912522,exp1,baserate,contrast
"r_participant[032,Intercept]",1.0025353435107287,exp1,baserate,contrast
